Model,Company,Color,Type,Average Rating,Number of Ratings,Selling Price,Maximum Retail Price,Discount
ZEBRONICS Zeb-Rush Wired Gaming Headset,ZEBRONICS,Blue, On the Ear,4.1,172,1149,2499,1350
ZEBRONICS Zeb-Bang Bluetooth Headset,ZEBRONICS,Black, On the Ear,4,6781,840,1599,759
ZEBRONICS ZEB-COROLLA Wired Headset,ZEBRONICS,Black, In the Ear,3.5,2649,199,399,200
ZEBRONICS Zeb-Thunder(Blue) Bluetooth Headset,ZEBRONICS,Blue, On the Ear,4.3,4051,799,1199,400
ZEBRONICS ZEB-BRO+ Extra Heavy bass earphone Wired Head...,ZEBRONICS,Black, In the Ear,4,0,228,349,121
ZEBRONICS Zeb-Lark Wireless Bluetooth Headset,ZEBRONICS,Red, In the Ear,3.4,1396,999,1449,450
ZEBRONICS ZEB DUKE 101 Wireless Headphone with Mic Blue...,ZEBRONICS,Black, On the Ear,4,4,944,1899,955
ZEBRONICS Zeb Yoga 90 Plus Bluetooth Headset,ZEBRONICS,Blue, Black,3.8,42,899,2299,1400
ZEBRONICS ZEB-COROLLA Wired Headset,ZEBRONICS,Black, In the Ear,3.6,8279,199,399,200
ZEBRONICS ZEB DUKE 101 Wireless Headphone with Mic Blue...,ZEBRONICS,Black, On the Ear,3.5,573,944,1899,955
ZEBRONICS ZEB-LARK Bluetooth Headset,ZEBRONICS,Gray, In the Ear,3.7,6288,855,1399,544
"ZEBRONICS Zeb - Thunder Wired, Bluetooth Headset",ZEBRONICS,Neon Yellow, On the Ear,3.5,8,899,2499,1600
ZEBRONICS Zeb Duke 101 Wireless Headphone with Mic Blue...,ZEBRONICS,Red, On the Ear,3.8,2949,937,1899,962
ZEBRONICS ZEB-LARK Bluetooth Headset,ZEBRONICS,Gray, In the Ear,3.6,753,855,1399,544
ZEBRONICS Zeb- Yoga 90 Pro Wireless Neckband (Black) Bl...,ZEBRONICS,Black, In the Ear,4.1,9,937,2999,2062
ZEBRONICS Zeb-lark Bluetooth Headset,ZEBRONICS,Orange, In the Ear,3.5,573,1150,1399,249
ZINUX Cyan 3.5mm Headphone with in-line Mic for Hi-Fi A...,ZINUX,Blue, Multicolor,3.9,221939,148,599,451
ZINUX Cyan 3.5mm Headphone with in-line Mic for Hi-Fi A...,ZINUX,Blue, Multicolor,3.6,745,148,1999,1851
zofia 2EARBUD Bluetooth Headset,zofia,Black, True Wireless,4.2,38,1299,2999,1700
ZOYASLIX Best Sam_sung ys Hendfree S6 FOR J4/J5/J7/J8/A...,ZOYASLIX,White, In the Ear,4.8,6,202,800,598
ZOYASLIX Best Sam_sung ys Hendfree S6 FOR J4/J5/J7/J8/A...,ZOYASLIX,White, In the Ear,4.3,7,202,800,598
ZSIV BT-22 SUPER BASS Grey With Long Life Battery Bluet...,ZSIV,Black, In the Ear,4,6245,449,1699,1250
ZSIV BT-22 SUPER BASS Grey With Long Life Battery Bluet...,ZSIV,Black, In the Ear,5,0,449,2499,2050
